tick,t,ms_per_tick,fauna_n,flora_n,capacity,free_slots,flora_mass,flora_mass_mean,struct_mean,struct_std,uptake_mean,uptake_std,cells_occupied,per_cell_max,per_cell_mean,shared_cell_frac,struct_temp_corr,uptake_nutr_corr,uptake_mass_corr,flora_band0,struct_band0,flora_band1,struct_band1,flora_band2,struct_band2,flora_band3,struct_band3,flora_band4,struct_band4,flora_band5,struct_band5,flora_band6,struct_band6,flora_band7,struct_band7,nutr_free,nutr_in_flora,nutr_in_detritus,nutr_total,nutr_added,nutr_lost,nutr_unaccounted,detritus_mass,detritus_cells,detritus_struct,fauna_mass,label
15000,300.0,2.8556,13,157,256,86,0.05021662123181159,0.00031985109064848146,0.560245636542132,0.1417474162518535,0.6588585186915793,0.17803329658961603,154,3,1.0194805194805194,0.03184713375796178,0.1481983953040144,0.1346599862405139,-0.0826396274234809,23,0.5476772007734879,16,0.6125096529722214,13,0.5931343986437871,28,0.5113127540264811,16,0.5786733869463205,17,0.5540865238975076,21,0.5787470567794073,23,0.5522781429083451,0.0009097164178360447,0.000765788986499919,2.17968595171659e-06,0.0016776850902876803,0.000983039999999821,6.201526123407449e-06,0.0007008466164112666,0.0006658288046548222,132,0.994953989982605,9.844782645819778,bas1
15500,310.0,2.8606,13,156,256,87,0.0504849635908613,0.0003236215614798801,0.5586504978247178,0.14078936607387055,0.6604438834847548,0.17749487978669248,153,3,1.0196078431372548,0.03205128205128205,0.13112167574958436,0.11541273378118327,-0.0892385970904742,23,0.5476772007734879,15,0.5994044780731201,13,0.5931343986437871,28,0.5113127540264811,16,0.5786733869463205,17,0.5540865238975076,21,0.5787470567794073,23,0.5522781429083451,0.0009357535860413811,0.0007710724869648285,3.1042299355154125e-06,0.001709930302941725,0.0010158079999998582,6.3155418393846035e-06,0.0007004378447812514,0.0008211060414016202,140,0.9953811764717102,9.84516338974314,bas1
16000,320.0,2.8626,13,157,256,86,0.051031290073296987,0.0003250400641611273,0.5598850117367544,0.14118477579819388,0.6588342783937029,0.17806722446860154,154,3,1.0194805194805194,0.03184713375796178,0.1321484220659526,0.04578297176739694,-0.07315685375622138,23,0.5476772007734879,15,0.5994044780731201,13,0.5931343986437871,29,0.5196284929226185,16,0.5786733869463205,17,0.5540865238975076,21,0.5787470567794073,23,0.5522781429083451,0.0009616261450486735,0.000778779719276492,2.1020840051563945e-06,0.001742507948330322,0.0010485759999998953,6.416036268722449e-06,0.000700347984599149,0.0007127638439712314,140,0.9974432587623596,9.845164902361415,bas1
16500,330.0,2.8657,13,159,256,84,0.05158307131569018,0.00032442183217415205,0.5586765854613586,0.14116261638384853,0.6599068081228988,0.17720375548544515,154,3,1.0324675324675325,0.05660377358490566,0.14610695134589094,0.042358947906991004,-0.08502235433770566,24,0.5484162494540215,15,0.5994044780731201,13,0.5931343986437871,29,0.5196284929226185,16,0.5786733869463205,17,0.5540865238975076,21,0.5787470567794073,24,0.5443588818113009,0.0009869182145335318,0.0007865704407072382,1.5794950927655186e-06,0.0017750681503335354,0.0010813439999999325,6.469862122136197e-06,0.000700194012455739,0.0006331429995132254,141,0.998612105846405,9.845164902361415,bas1
17000,340.0,2.8716,14,160,256,82,0.05214056899785646,0.0003258785562366029,0.5589658848941326,0.14076806672469516,0.6609937721863389,0.17718005161082737,155,3,1.032258064516129,0.05625,0.1493511507905228,0.044126886760067804,-0.09785708014170426,24,0.5484162494540215,15,0.5994044780731201,13,0.5931343986437871,29,0.5196284929226185,16,0.5786733869463205,17,0.5540865238975076,21,0.5787470567794073,25,0.5467831063270568,0.001011881074800573,0.0007944708340236667,1.282751355967951e-06,0.0018076346601802076,0.0011141119999999696,6.501550735620932e-06,0.0007000242109158588,0.0005685836427788971,147,0.9992011189460754,9.978497775740504,bas1
17500,350.0,2.8759,14,162,256,80,0.05272364006668795,0.0003254545683128886,0.5587438556515141,0.1413896666358702,0.6630935273420664,0.17748665505340347,157,3,1.0318471337579618,0.05555555555555555,0.16317756824412463,0.07292732977182362,-0.11930132946092287,24,0.5484162494540215,15,0.5994044780731201,13,0.5931343986437871,30,0.5142208258310954,16,0.5786733869463205,17,0.5540865238975076,22,0.5853751247579401,25,0.5467831063270568,0.0010365198147126327,0.0008027026351914478,1.0798586534803239e-06,0.0018403023085575608,0.0011468800000000068,6.522214255752048e-06,0.0006999445228133062,0.000506243256571004,148,0.9995816946029663,9.978497775740504,bas1
18000,360.0,2.8814,14,163,256,79,0.05333738560875645,0.00032722322459359786,0.5587847790469421,0.14095625113085405,0.6635175959829904,0.1770236849977398,158,3,1.0316455696202531,0.05521472392638037,0.17753434094640297,0.02758113731165347,-0.12362197818027448,25,0.5490961742401123,15,0.5994044780731201,13,0.5931343986437871,30,0.5142208258310954,16,0.5786733869463205,17,0.5540865238975076,22,0.5853751247579401,25,0.5467831063270568,0.0010607049214232116,0.0008113353289223746,9.368197019692421e-07,0.0018729770700475555,0.001179648000000044,6.5371025806109734e-06,0.0006998661726281225,0.00045280899638644456,149,0.9997801184654236,9.978497775740504,bas1
18500,370.0,2.8864,14,164,256,78,0.05396464860677952,0.0003290527354071922,0.5601904415866223,0.1416671590304254,0.6617758108711824,0.1778786534136715,159,3,1.0314465408805031,0.054878048780487805,0.20815815443835137,0.010193456579492353,-0.10460574085662244,25,0.5490961742401123,15,0.5994044780731201,14,0.6071471869945526,30,0.5142208258310954,16,0.5786733869463205,17,0.5540865238975076,22,0.5853751247579401,25,0.5467831063270568,0.0010846125347480835,0.0008201757211077118,8.322746661466333e-07,0.001905620530521942,0.0012124160000000811,6.548807564841293e-06,0.0006997533380867021,0.0004089045529935831,152,0.999883770942688,9.978497775740504,bas1
19000,380.0,2.8937,14,165,256,77,0.0545980299502844,0.00033089715121384486,0.560641920747179,0.1413555049814496,0.6628478077324954,0.17786938436795807,160,3,1.03125,0.05454545454545454,0.21876568001301996,0.01889536416700018,-0.11558701424594729,25,0.5490961742401123,15,0.5994044780731201,14,0.6071471869945526,30,0.5142208258310954,17,0.5819681584835052,17,0.5540865238975076,22,0.5853751247579401,25,0.5467831063270568,0.001108301894851841,0.0008290121059674482,7.559147817650993e-07,0.0019380699156010543,0.0012451840000001183,6.558673040742824e-06,0.0006994445886416788,0.00037457472740243247,156,0.9999315142631531,9.978497775740504,bas1
19500,390.0,2.9036,14,169,256,73,0.055229119996511145,0.0003267995266065748,0.5601984077304073,0.1401045987456865,0.6635711893174775,0.17598691192306185,163,3,1.0368098159509203,0.0650887573964497,0.2233666420815879,0.01565277160713065,-0.1204155592642523,26,0.5497237971195807,15,0.5994044780731201,16,0.6025383658707142,30,0.5142208258310954,18,0.5752836151255502,17,0.5540865238975076,22,0.5853751247579401,25,0.5467831063270568,0.0011317959986128705,0.0008377118777475129,6.970989754513142e-07,0.001970204975335835,0.0012779520000001554,6.567467506864482e-06,0.0006988204428425438,0.0003469253375909531,165,0.99994957447052,9.978497775740504,bas1
